Package,Built
abind,3.4.0
arm,3.4.0
assertthat,3.4.0
backports,3.4.3
base64enc,3.4.0
BH,3.4.1
bindr,3.4.0
bindrcpp,3.4.0
bit,3.4.0
bit64,3.4.0
bitops,3.4.0
blob,3.4.0
blogdown,3.4.3
bookdown,3.4.1
broom,3.4.3
callr,3.4.1
caTools,3.4.0
cellranger,3.4.0
chron,3.4.3
classInt,3.4.0
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.0
coda,3.4.0
coefplot,3.4.3
colorspace,3.4.0
crayon,3.4.1
crosstalk,3.4.0
curl,3.4.3
data.table,3.4.2
DBI,3.4.1
dbplyr,3.4.1
debugme,3.4.2
desc,3.4.1
devtools,3.4.1
dichromat,3.4.0
digest,3.4.3
dotwhisker,3.4.1
dplyr,3.4.2
DT,3.4.0
dygraphs,3.4.0
e1071,3.4.0
enc,3.4.2
evaluate,3.4.1
flexdashboard,3.4.3
forcats,3.4.0
formatR,3.4.0
formattable,3.4.1
fs,3.4.1
gapminder,3.4.2
gdata,3.4.0
gdtools,3.4.1
GGally,3.4.1
ggjoy,3.4.1
ggplot2,3.4.0
ggrepel,3.4.2
ggridges,3.4.1
ggstance,3.4.0
ggvis,3.4.0
gh,3.4.1
git2r,3.4.3
glue,3.4.2
googlesheets,3.4.0
gridExtra,3.4.1
gsubfn,3.4.0
gtable,3.4.0
gtools,3.4.0
haven,3.4.3
here,3.4.1
hexbin,3.4.3
highr,3.4.0
hms,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.1
httpuv,3.4.1
httr,3.4.1
ini,3.4.2
interplot,3.4.0
jsonlite,3.4.0
knitr,3.4.3
labeling,3.4.0
lazyeval,3.4.2
leaflet,3.4.0
lme4,3.4.3
lubridate,3.4.2
magrittr,3.4.0
mapdata,3.4.0
mapproj,3.4.0
maps,3.4.0
maptools,3.4.0
margins,3.4.0
markdown,3.4.0
MatrixModels,3.4.0
memoise,3.4.0
mime,3.4.0
miniUI,3.4.0
minqa,3.4.0
mnormt,3.4.0
modelr,3.4.1
munsell,3.4.0
nloptr,3.4.0
nycflights13,3.4.0
officer,3.4.3
openssl,3.4.2
packrat,3.4.0
pander,3.4.1
pillar,3.4.3
pkgconfig,3.4.0
PKI,3.4.1
plogr,3.4.0
plotly,3.4.1
plyr,3.4.0
png,3.4.0
praise,3.4.0
prediction,3.4.0
prettyunits,3.4.0
progress,3.4.0
proto,3.4.0
psych,3.4.1
purrr,3.4.2
quantreg,3.4.2
R.methodsS3,3.4.0
R.oo,3.4.0
R.utils,3.4.2
R6,3.4.0
rappdirs,3.4.0
raster,3.4.2
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppEigen,3.4.3
RCurl,3.4.3
readr,3.4.0
readxl,3.4.0
rematch,3.4.0
rematch2,3.4.1
reprex,3.4.1
repurrrsive,3.4.1
reshape,3.4.1
reshape2,3.4.3
rgdal,3.4.3
rgeos,3.4.2
RJSONIO,3.4.0
rlang,3.4.3
rmarkdown,3.4.2
rmdexamples,3.4.1
RPostgres,3.4.3
rprojroot,3.4.3
rsconnect,3.4.1
RSQLite,3.4.0
rstudioapi,3.4.1
rticles,3.4.0
rvest,3.4.0
rvg,3.4.3
scales,3.4.1
selectr,3.4.0
servr,3.4.2
sf,3.4.3
shiny,3.4.1
shinythemes,3.4.0
skimr,3.4.3
socviz,3.4.1
sourcetools,3.4.0
sp,3.4.3
SparseM,3.4.0
sqldf,3.4.1
srvyr,3.4.1
stringi,3.4.2
stringr,3.4.0
styler,3.4.3
survey,3.4.1
TeachingDemos,3.4.0
testthat,3.4.3
tibble,3.4.1
tidycensus,3.4.3
tidyr,3.4.2
tidyselect,3.4.2
tidyverse,3.4.2
tigris,3.4.3
udunits2,3.4.0
units,3.4.3
useful,3.4.0
usethis,3.4.3
utf8,3.4.3
uuid,3.4.0
viridis,3.4.3
viridisLite,3.4.0
whisker,3.4.0
withr,3.4.3
xaringan,3.4.1
xml2,3.4.0
xtable,3.4.0
xts,3.4.3
yaml,3.4.3
zip,3.4.0
zoo,3.4.3
