Package,LibPath,Version,Priority,Built
abind,/Users/joel/Library/R/3.4/library,1.4-5,NA,3.4.0
arm,/Users/joel/Library/R/3.4/library,1.9-3,NA,3.4.0
assertthat,/Users/joel/Library/R/3.4/library,0.2.0,NA,3.4.0
backports,/Users/joel/Library/R/3.4/library,1.1.2,NA,3.4.3
base64enc,/Users/joel/Library/R/3.4/library,0.1-3,NA,3.4.0
BH,/Users/joel/Library/R/3.4/library,1.65.0-1,NA,3.4.1
bindr,/Users/joel/Library/R/3.4/library,0.1,NA,3.4.0
bindrcpp,/Users/joel/Library/R/3.4/library,0.2,NA,3.4.0
bit,/Users/joel/Library/R/3.4/library,1.1-12,NA,3.4.0
bit64,/Users/joel/Library/R/3.4/library,0.9-7,NA,3.4.0
bitops,/Users/joel/Library/R/3.4/library,1.0-6,NA,3.4.0
blob,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.0
blogdown,/Users/joel/Library/R/3.4/library,0.4,NA,3.4.3
bookdown,/Users/joel/Library/R/3.4/library,0.5,NA,3.4.1
broom,/Users/joel/Library/R/3.4/library,0.4.3,NA,3.4.3
callr,/Users/joel/Library/R/3.4/library,2.0.1,NA,3.4.1
caTools,/Users/joel/Library/R/3.4/library,1.17.1,NA,3.4.0
cellranger,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.0
chron,/Users/joel/Library/R/3.4/library,2.3-52,NA,3.4.3
classInt,/Users/joel/Library/R/3.4/library,0.1-24,NA,3.4.0
cli,/Users/joel/Library/R/3.4/library,1.0.0,NA,3.4.2
clipr,/Users/joel/Library/R/3.4/library,0.4.0,NA,3.4.2
clisymbols,/Users/joel/Library/R/3.4/library,1.2.0,NA,3.4.0
coda,/Users/joel/Library/R/3.4/library,0.19-1,NA,3.4.0
coefplot,/Users/joel/Library/R/3.4/library,1.2.5,NA,3.4.3
colorspace,/Users/joel/Library/R/3.4/library,1.3-2,NA,3.4.0
crayon,/Users/joel/Library/R/3.4/library,1.3.4,NA,3.4.1
crosstalk,/Users/joel/Library/R/3.4/library,1.0.0,NA,3.4.0
curl,/Users/joel/Library/R/3.4/library,3.1,NA,3.4.3
data.table,/Users/joel/Library/R/3.4/library,1.10.4-3,NA,3.4.2
DBI,/Users/joel/Library/R/3.4/library,0.7-12,NA,3.4.1
dbplyr,/Users/joel/Library/R/3.4/library,1.2.0,NA,3.4.1
debugme,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.2
desc,/Users/joel/Library/R/3.4/library,1.1.1,NA,3.4.1
devtools,/Users/joel/Library/R/3.4/library,1.13.4,NA,3.4.1
dichromat,/Users/joel/Library/R/3.4/library,2.0-0,NA,3.4.0
digest,/Users/joel/Library/R/3.4/library,0.6.15,NA,3.4.3
dotwhisker,/Users/joel/Library/R/3.4/library,0.3.0,NA,3.4.1
dplyr,/Users/joel/Library/R/3.4/library,0.7.4,NA,3.4.2
DT,/Users/joel/Library/R/3.4/library,0.2,NA,3.4.0
dygraphs,/Users/joel/Library/R/3.4/library,1.1.1.4,NA,3.4.0
e1071,/Users/joel/Library/R/3.4/library,1.6-8,NA,3.4.0
enc,/Users/joel/Library/R/3.4/library,0.1,NA,3.4.2
evaluate,/Users/joel/Library/R/3.4/library,0.10.1,NA,3.4.1
flexdashboard,/Users/joel/Library/R/3.4/library,0.5.1,NA,3.4.3
forcats,/Users/joel/Library/R/3.4/library,0.2.0,NA,3.4.0
formatR,/Users/joel/Library/R/3.4/library,1.5,NA,3.4.0
formattable,/Users/joel/Library/R/3.4/library,0.2.0.2,NA,3.4.1
fs,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.1
gapminder,/Users/joel/Library/R/3.4/library,0.3.0,NA,3.4.2
gdata,/Users/joel/Library/R/3.4/library,2.18.0,NA,3.4.0
gdtools,/Users/joel/Library/R/3.4/library,0.1.6,NA,3.4.1
GGally,/Users/joel/Library/R/3.4/library,1.3.2,NA,3.4.1
ggjoy,/Users/joel/Library/R/3.4/library,0.4.0,NA,3.4.1
ggplot2,/Users/joel/Library/R/3.4/library,2.2.1,NA,3.4.0
ggrepel,/Users/joel/Library/R/3.4/library,0.7.0,NA,3.4.2
ggridges,/Users/joel/Library/R/3.4/library,0.4.1,NA,3.4.1
ggstance,/Users/joel/Library/R/3.4/library,0.3,NA,3.4.0
ggvis,/Users/joel/Library/R/3.4/library,0.4.3,NA,3.4.0
gh,/Users/joel/Library/R/3.4/library,1.0.1,NA,3.4.1
git2r,/Users/joel/Library/R/3.4/library,0.21.0,NA,3.4.3
glue,/Users/joel/Library/R/3.4/library,1.2.0,NA,3.4.2
googlesheets,/Users/joel/Library/R/3.4/library,0.2.2,NA,3.4.0
gridExtra,/Users/joel/Library/R/3.4/library,2.3,NA,3.4.1
gsubfn,/Users/joel/Library/R/3.4/library,0.6-6,NA,3.4.0
gtable,/Users/joel/Library/R/3.4/library,0.2.0,NA,3.4.0
gtools,/Users/joel/Library/R/3.4/library,3.5.0,NA,3.4.0
haven,/Users/joel/Library/R/3.4/library,1.1.1,NA,3.4.3
here,/Users/joel/Library/R/3.4/library,0.1-10,NA,3.4.1
hexbin,/Users/joel/Library/R/3.4/library,1.27.2,NA,3.4.3
highr,/Users/joel/Library/R/3.4/library,0.6,NA,3.4.0
hms,/Users/joel/Library/R/3.4/library,0.4.0,NA,3.4.3
htmltools,/Users/joel/Library/R/3.4/library,0.3.6,NA,3.4.0
htmlwidgets,/Users/joel/Library/R/3.4/library,0.9,NA,3.4.1
httpuv,/Users/joel/Library/R/3.4/library,1.3.5,NA,3.4.1
httr,/Users/joel/Library/R/3.4/library,1.3.1,NA,3.4.1
ini,/Users/joel/Library/R/3.4/library,0.3.0,NA,3.4.2
interplot,/Users/joel/Library/R/3.4/library,0.1.5,NA,3.4.0
jsonlite,/Users/joel/Library/R/3.4/library,1.5,NA,3.4.0
knitr,/Users/joel/Library/R/3.4/library,1.18,NA,3.4.3
labeling,/Users/joel/Library/R/3.4/library,0.3,NA,3.4.0
lazyeval,/Users/joel/Library/R/3.4/library,0.2.1,NA,3.4.2
leaflet,/Users/joel/Library/R/3.4/library,1.1.0,NA,3.4.0
lme4,/Users/joel/Library/R/3.4/library,1.1-15,NA,3.4.3
lubridate,/Users/joel/Library/R/3.4/library,1.7.1,NA,3.4.2
magrittr,/Users/joel/Library/R/3.4/library,1.5,NA,3.4.0
mapdata,/Users/joel/Library/R/3.4/library,2.2-6,NA,3.4.0
mapproj,/Users/joel/Library/R/3.4/library,1.2-5,NA,3.4.0
maps,/Users/joel/Library/R/3.4/library,3.2.0,NA,3.4.0
maptools,/Users/joel/Library/R/3.4/library,0.9-2,NA,3.4.0
margins,/Users/joel/Library/R/3.4/library,0.3.0,NA,3.4.0
markdown,/Users/joel/Library/R/3.4/library,0.8,NA,3.4.0
